Price,Bedrooms,Locality,Is_premium_subarea,Property_type,Area,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group
400000,1,ajah,0,mini flat,island,1,12.899222326086994,365000.0,1204599.6404862693,0.029055296734001434
14000000,3,ikoyi,1,flat,island,0,16.454567959008102,7500000.0,5588541.634109451,1.1630941353872175
200000,1,yaba,0,mini flat,mainland,0,12.206077645517674,350000.0,197881.37662672115,-0.7580298993116291
800000,2,surulere,0,flat,mainland,0,13.592368256649284,725000.0,366236.1254336464,0.20478591485532818
300000,1,yaba,0,mini flat,mainland,0,12.611541086966115,350000.0,197881.37662672115,-0.2526766331038764
300000,0,yaba,0,self contain,mainland,0,12.611541086966115,230000.0,96333.31300434396,0.7266437519577832
600000,2,yaba,0,flat,mainland,0,13.304686600863562,700000.0,388728.5267957169,-0.2572489362288341
450000,1,yaba,0,mini flat,mainland,0,13.017005083966255,350000.0,197881.37662672115,0.5053532662077528
1000000,3,ikosi,0,flat,mainland,0,13.815511557963774,1000000.0,471780.70203466876,0.0
500000,2,shomolu,0,flat,mainland,0,13.122365377402328,500000.0,246132.39769290932,0.0
3300000,5,ilupeju,0,flat,mainland,1,15.009433329466965,3300000.0,1.0,0.0
2500000,4,lekki,1,duplex,island,0,14.731801689838349,3500000.0,4441466.645353092,-0.22515085215066408
550000,3,odofin,0,flat,mainland,1,13.217675375388819,900000.0,232605.93417828914,-1.504690760519162
1500000,3,ikosi,0,flat,mainland,0,14.220976332738882,1000000.0,471780.70203466876,1.0598144388772763
180000,1,yaba,0,mini flat,mainland,0,12.100717685412471,350000.0,197881.37662672115,-0.8591005525531797
150000,1,yaba,0,mini flat,mainland,0,11.918397239722838,350000.0,197881.37662672115,-1.0107065324155056
1500000,3,lekki,1,flat,island,0,14.220976332738882,2000000.0,1404009.206178628,-0.3561230209885009
85000,1,yaba,0,mini flat,mainland,0,11.350418300109132,350000.0,197881.37662672115,-1.3391861554505449
80000,1,yaba,0,mini flat,mainland,0,11.289794413577894,350000.0,197881.37662672115,-1.3644538187609325
1200000,2,yaba,0,flat,mainland,0,13.997832948091215,700000.0,388728.5267957169,1.2862446811441703
800000,1,lekki,1,mini flat,island,0,13.592368256649284,1100000.0,655271.5531639188,-0.4578254596151434
400000,3,lekki,1,flat,island,0,12.899222326086994,2000000.0,1404009.206178628,-1.139593667163203
1000000,3,ajah,0,flat,island,1,13.815511557963774,900000.0,345391.2078968643,0.2895267676583723
850000,3,gbagada,0,flat,mainland,0,13.652992804936396,1000000.0,395058.6778605653,-0.379690431842487
600000,2,gbagada,0,flat,mainland,0,13.304686600863562,775000.0,160228.0628912014,-1.092193195388183
450000,1,gbagada,0,mini flat,mainland,0,13.017005083966255,400000.0,103946.4532858813,0.48101689301977685
7000000,3,ikeja,1,house,mainland,0,15.76142084987672,4750000.0,3181980.515339464,0.7071067811865475
1200000,4,ajah,0,bungalow,island,1,13.997832948091215,1300000.0,245515.33104427057,-0.4073065399812784
900000,3,lekki,0,flat,island,0,13.710151153416941,2000000.0,1404009.206178628,-0.783470646174702
530000,1,isolo,0,mini flat,mainland,0,13.180634172318978,375000.0,2425268.81073992,0.06391044131421926
650000,2,ogba,0,flat,mainland,0,13.384729180332174,600000.0,163816.95331828375,0.3052187150792253
350000,1,yaba,0,mini flat,mainland,0,12.765691290604371,350000.0,197881.37662672115,0.0
3500000,5,lekki,1,duplex,island,0,15.068273812173887,5000000.0,15715303.809011258,-0.09544836156077938
500000,3,ajah,0,flat,island,0,13.122365377402328,900000.0,345391.2078968643,-1.1581070706334893
300000,1,ajah,0,mini flat,island,0,12.611541086966115,365000.0,1204599.6404862693,-0.053959836791716946
300000,0,shomolu,0,self contain,mainland,0,12.611541086966115,200000.0,46184.46628584523,2.1652301746019815
400000,1,shomolu,0,mini flat,mainland,0,12.899222326086994,350000.0,176717.89236844712,0.2829368284664279
2200000,4,lekki,0,duplex,island,1,14.603968372873895,3500000.0,4441466.645353092,-0.2926961077958633
3500000,4,lekki,0,duplex,island,0,15.068273812173887,3500000.0,4441466.645353092,0.0
3500000,2,ikeja,0,flat,mainland,0,15.068273812173887,1000000.0,1799391.966140632,1.389358209352265
600000,3,yaba,0,flat,mainland,0,13.304686600863562,1000000.0,624067.9867957743,-0.6409558068404807
1200000,3,yaba,0,flat,mainland,0,13.997832948091215,1000000.0,624067.9867957743,0.32047790342024035
1000000,3,gbagada,0,flat,mainland,1,13.815511557963774,1000000.0,395058.6778605653,0.0
300000,2,ikosi,0,flat,mainland,0,12.611541086966115,650000.0,284013.1899463334,-1.2323371321808516
2500000,5,gbagada,0,duplex,mainland,1,14.731801689838349,2600000.0,700417.4579382037,-0.14277199813717775
1800000,2,lekki,0,flat,island,0,14.403297778421795,2000000.0,895390.6211295603,-0.2233661993775347
1000000,3,ikosi,1,flat,mainland,0,13.815511557963774,1000000.0,471780.70203466876,0.0
1100000,3,yaba,0,flat,mainland,0,13.910821646859095,1000000.0,624067.9867957743,0.16023895171012018
1000000,2,yaba,0,flat,mainland,0,13.815511557963774,700000.0,388728.5267957169,0.7717468086865023
250000,1,ajah,0,mini flat,island,0,12.429220196836383,365000.0,1204599.6404862693,-0.09546740355457614
500000,2,ajah,0,flat,island,0,13.122365377402328,700000.0,204008.4003956448,-0.9803517875348707
700000,3,yaba,0,flat,mainland,0,13.45883704259595,1000000.0,624067.9867957743,-0.48071685513036055
800000,3,yaba,0,flat,mainland,0,13.592368256649284,1000000.0,624067.9867957743,-0.32047790342024035
4000000,3,ikoyi,1,flat,island,0,15.201805169084134,7500000.0,5588541.634109451,-0.626281457516194
1600000,3,ikosi,1,flat,mainland,0,14.285514812209815,1000000.0,471780.70203466876,1.2717773266527317
250000,2,ikorodu,0,flat,mainland,1,12.429220196836383,250000.0,871957.4409978761,0.0
250000,2,ikorodu,0,flat,mainland,0,12.429220196836383,250000.0,871957.4409978761,0.0
3200000,4,lekki,1,duplex,island,0,14.978661680269907,3500000.0,4441466.645353092,-0.06754525564519923
2800000,4,yaba,0,duplex,mainland,0,14.845130332288226,2800000.0,608789.7830942961,0.0
1500000,3,yaba,0,flat,mainland,0,14.220976332738882,1000000.0,624067.9867957743,0.801194758550601
660000,1,yaba,0,mini flat,mainland,0,13.399996629152975,350000.0,197881.37662672115,1.5665951252440335
400000,2,shomolu,0,flat,mainland,0,12.899222326086994,500000.0,246132.39769290932,-0.40628540142353164
1500000,3,ikosi,1,flat,mainland,0,14.220976332738882,1000000.0,471780.70203466876,1.0598144388772763
1200000,3,gbagada,0,flat,mainland,0,13.997832948091215,1000000.0,395058.6778605653,0.506253909123316
180000,1,ikorodu,0,mini flat,mainland,0,12.100717685412471,160000.0,46262.26722093344,0.43231776567470304
600000,3,ojodu,0,flat,mainland,0,13.304686600863562,700000.0,336766.48457767285,-0.296941663079705
900000,2,surulere,0,flat,mainland,0,13.710151153416941,725000.0,366236.1254336464,0.4778338013290991
5000000,3,ikeja,1,duplex,mainland,0,15.424948670398354,3000000.0,1192386.2403753907,1.677308855367497
3500000,4,lekki,1,duplex,island,0,15.068273812173887,3500000.0,4441466.645353092,0.0
1000000,2,gbagada,0,flat,mainland,0,13.815511557963774,775000.0,160228.0628912014,1.4042483940705208
2500000,3,lekki,0,flat,island,0,14.731801689838349,2000000.0,1404009.206178628,0.3561230209885009
3500000,4,ikosi,1,duplex,mainland,0,15.068273812173887,2500000.0,962899.7352352653,1.0385297278700258
3000000,6,gbagada,0,duplex,mainland,1,14.914123179965662,3000000.0,694982.0141557622,0.0
500000,3,surulere,0,flat,mainland,0,13.122365377402328,950000.0,595690.8266673322,-0.755425431876435
8000000,5,lekki,1,duplex,island,0,15.894952224644102,5000000.0,15715303.809011258,0.19089672312155875
3000000,4,ikeja,0,duplex,mainland,1,14.914123179965662,3500000.0,1350794.5131020376,-0.3701525251622269
1800000,3,lekki,1,flat,island,0,14.403297778421795,2000000.0,1404009.206178628,-0.14244920839540037
3500000,6,gbagada,0,duplex,mainland,0,15.068273812173887,3000000.0,694982.0141557622,0.7194430788361927
600000,2,mushin,0,flat,mainland,0,13.304686600863562,450000.0,135092.56086106296,1.110349815296408
1200000,3,lekki,0,flat,island,0,13.997832948091215,2000000.0,1404009.206178628,-0.5697968335816015
1700000,3,lekki,0,flat,island,0,14.346139397261565,2000000.0,1404009.206178628,-0.21367381259310053
1200000,2,ikosi,1,flat,mainland,0,13.997832948091215,650000.0,284013.1899463334,1.9365297791413383
1190000,1,lekki,0,mini flat,island,0,13.989464705423494,1100000.0,655271.5531639188,0.13734763788454302
580000,1,lekki,0,mini flat,island,0,13.270785106659046,1100000.0,655271.5531639188,-0.7935641299995819
4500000,3,victoria island,1,flat,island,0,15.319588176962746,4500000.0,6915655.485204466,0.0
450000,1,ogudu,1,mini flat,mainland,1,13.017005083966255,400000.0,133088.8563259934,0.37568885465157137
1800000,4,lekki,1,duplex,island,1,14.403297778421795,3500000.0,4441466.645353092,-0.38275644865612896
4500000,4,lekki,1,flat,island,0,15.319588176962746,3500000.0,1287490.062882392,0.7767050238517815
3000000,3,lekki,1,flat,island,0,14.914123179965662,2000000.0,1404009.206178628,0.7122460419770018
1300000,3,ogudu,1,flat,mainland,0,14.077875591662238,1200000.0,390219.34737220797,0.25626612486903605
1000000,3,odofin,0,flat,mainland,1,13.815511557963774,900000.0,232605.93417828914,0.4299116458626177
2500000,5,ikeja,0,duplex,mainland,0,14.731801689838349,4500000.0,2475331.4711372973,-0.8079725981430257
1500000,3,odofin,0,flat,mainland,0,14.220976332738882,900000.0,232605.93417828914,2.579469875175706
500000,1,maryland,0,mini flat,mainland,0,13.122365377402328,575000.0,530159.2596378094,-0.14146692458269614
1800000,3,lekki,1,duplex,island,0,14.403297778421795,2600000.0,954800.4463444415,-0.8378714139304061
320000,1,yaba,0,mini flat,mainland,0,12.676079399771027,350000.0,197881.37662672115,-0.15160597986232582
5500000,5,ikosi,1,duplex,mainland,0,15.520258832020865,3000000.0,1088404.6746175739,2.296939785634796
600000,2,shomolu,0,flat,mainland,0,13.304686600863562,500000.0,246132.39769290932,0.40628540142353164
500000,2,yaba,0,flat,mainland,0,13.122365377402328,700000.0,388728.5267957169,-0.5144978724576682
3000000,2,victoria island,1,flat,island,0,14.914123179965662,3000000.0,1583096.9895844576,0.0
300000,0,ajah,0,self contain,island,1,12.611541086966115,300000.0,157457.91344195599,0.0
200000,1,shomolu,0,mini flat,mainland,0,12.206077645517674,350000.0,176717.89236844712,-0.8488104853992838
700000,2,ikosi,0,flat,mainland,0,13.45883704259595,650000.0,284013.1899463334,0.17604816174012167
900000,3,maryland,0,flat,mainland,1,13.710151153416941,1800000.0,2138121.143516691,-0.4209303119839684
2100000,3,odofin,0,duplex,mainland,0,14.557448378884015,1300000.0,425944.3290250164,1.8781797185355054
850000,2,odofin,0,flat,mainland,0,13.652992804936396,650000.0,344063.1433913202,0.5812886496026981
850000,3,odofin,0,flat,mainland,0,13.652992804936396,900000.0,232605.93417828914,-0.21495582293130885
1500000,5,odofin,0,duplex,mainland,0,14.220976332738882,2000000.0,471572.8494951256,-1.0602815673873274
1900000,3,lekki,1,flat,island,0,14.45736497045232,2000000.0,1404009.206178628,-0.07122460419770019
2500000,3,yaba,0,flat,mainland,0,14.731801689838349,1000000.0,624067.9867957743,2.4035842756518027
7000000,4,victoria island,1,flat,island,1,15.76142084987672,5000000.0,5613758.608480215,0.35626754541578876
3200000,5,lekki,1,duplex,island,1,14.978661680269907,5000000.0,15715303.809011258,-0.11453803387293526
2500000,6,surulere,0,duplex,mainland,0,14.731801689838349,2500000.0,1.0,0.0
4000000,3,victoria island,1,house,island,1,15.201805169084134,3750000.0,288675.13459481293,0.8660254037844385
500000,1,yaba,0,mini flat,mainland,0,13.122365377402328,350000.0,197881.37662672115,0.7580298993116291
1000000,3,yaba,0,house,mainland,0,13.815511557963774,1000000.0,1154700.5383792515,0.0
6000000,3,victoria island,1,flat,island,1,15.607270193858982,4500000.0,6915655.485204466,0.21689917943557763
1200000,3,sangotedo,0,flat,island,0,13.997832948091215,700000.0,200277.58514399736,2.4965349948697733
600000,3,ajah,0,flat,island,1,13.304686600863562,900000.0,345391.2078968643,-0.868580302975117
2500000,3,ikeja,0,flat,mainland,0,14.731801689838349,1600000.0,1237311.287693152,0.7273836494920882
550000,3,ajah,0,flat,island,1,13.217675375388819,900000.0,345391.2078968643,-1.013343686804303
500000,2,surulere,0,flat,mainland,0,13.122365377402328,725000.0,366236.1254336464,-0.6143577445659846
2500000,4,ikeja,0,house,mainland,0,14.731801689838349,2500000.0,1650841.5362407677,0.0
350000,0,surulere,0,self contain,mainland,0,12.765691290604371,200000.0,286495.17828313826,0.5235690209479114
1200000,2,surulere,0,flat,mainland,0,13.997832948091215,725000.0,366236.1254336464,1.2969774607504119
1500000,3,surulere,0,flat,mainland,0,14.220976332738882,950000.0,595690.8266673322,0.9232977500711983
750000,2,ajah,0,flat,island,1,13.527829818844937,700000.0,204008.4003956448,0.24508794688371768
2000000,1,victoria island,1,mini flat,island,0,14.508658238524095,2000000.0,1085422.6331204444,0.0
1000000,3,shomolu,0,flat,mainland,0,13.815511557963774,750000.0,258573.34507161233,0.9668436626008844
1000000,3,surulere,0,flat,mainland,0,13.815511557963774,950000.0,595690.8266673322,0.08393615909738167
1100000,1,lekki,1,mini flat,island,0,13.910821646859095,1100000.0,655271.5531639188,0.0
800000,2,ikoyi,1,flat,island,0,13.592368256649284,4000000.0,6803381.0000145435,-0.4703543723323976
1300000,2,ikoyi,1,flat,island,0,14.077875591662238,4000000.0,6803381.0000145435,-0.39686150165546047
4000000,5,lekki,1,duplex,island,0,15.201805169084134,5000000.0,15715303.809011258,-0.0636322410405196
1500000,2,lekki,0,flat,island,1,14.220976332738882,2000000.0,895390.6211295603,-0.5584154984438368
7000000,4,victoria island,1,bungalow,island,0,15.76142084987672,7000000.0,1.0,0.0
2500000,5,ikosi,1,house,mainland,0,14.731801689838349,2500000.0,1405939.7805975429,0.0
650000,2,yaba,0,flat,mainland,0,13.384729180332174,700000.0,388728.5267957169,-0.12862446811441705
4000000,5,ikeja,0,duplex,mainland,1,15.201805169084134,4500000.0,2475331.4711372973,-0.20199314953575642
4000000,4,ikoyi,1,house,island,1,15.201805169084134,10000000.0,5370654.423015095,-1.1171822886775107
1300000,3,ojodu,1,flat,mainland,0,14.077875591662238,700000.0,336766.48457767285,1.78164997847823
1500000,3,ogudu,1,flat,mainland,1,14.220976332738882,1200000.0,390219.34737220797,0.7687983746071081
5500000,4,maryland,0,duplex,mainland,1,15.520258832020865,3400000.0,1698234.3772283024,1.2365784300206084
230000,0,yaba,0,self contain,mainland,0,12.345838935721968,230000.0,96333.31300434396,0.0
500000,2,mushin,0,flat,mainland,0,13.122365377402328,450000.0,135092.56086106296,0.3701166050988026
6000000,3,ikoyi,1,house,island,1,15.607270193858982,6000000.0,4117037.7700477806,0.0
400000,1,yaba,0,mini flat,mainland,0,12.899222326086994,350000.0,197881.37662672115,0.2526766331038764
1200000,1,lekki,1,mini flat,island,0,13.997832948091215,1100000.0,655271.5531639188,0.15260848653838113
850000,3,shomolu,0,flat,mainland,0,13.652992804936396,750000.0,258573.34507161233,0.3867374650403537
3000000,5,gbagada,0,duplex,mainland,0,14.914123179965662,2600000.0,700417.4579382037,0.571087992548711
250000,1,isolo,0,mini flat,mainland,0,12.429220196836383,375000.0,2425268.81073992,-0.05154067847920908
750000,2,ikosi,0,flat,mainland,0,13.527829818844937,650000.0,284013.1899463334,0.35209632348024333
300000,2,alimosho,0,flat,mainland,0,12.611541086966115,400000.0,121396.33728853069,-0.8237480819732098
2500000,5,gbagada,0,duplex,mainland,0,14.731801689838349,2600000.0,700417.4579382037,-0.14277199813717775
300000,1,shomolu,0,mini flat,mainland,0,12.611541086966115,350000.0,176717.89236844712,-0.2829368284664279
1000000,3,gbagada,0,flat,mainland,0,13.815511557963774,1000000.0,395058.6778605653,0.0
900000,2,ikosi,1,flat,mainland,0,13.710151153416941,650000.0,284013.1899463334,0.8802408087006083
1300000,3,ikosi,0,flat,mainland,0,14.077875591662238,1000000.0,471780.70203466876,0.6358886633263658
1000000,3,gbagada,1,flat,mainland,0,13.815511557963774,1000000.0,395058.6778605653,0.0
500000,2,ilupeju,0,flat,mainland,0,13.122365377402328,800000.0,1257122.5647712885,-0.2386402156853972
170000,0,ilupeju,0,self contain,mainland,0,12.04355959836804,175000.0,7071.067811865475,-0.7071067811865476
1500000,3,shomolu,0,duplex,mainland,0,14.220976332738882,1500000.0,1.0,0.0
1100000,3,shomolu,0,flat,mainland,0,13.910821646859095,750000.0,258573.34507161233,1.3535811276412382
300000,1,ilupeju,0,mini flat,mainland,0,12.611541086966115,400000.0,736903.1929564925,-0.1357030352912368
3000000,4,lekki,0,duplex,island,0,14.914123179965662,3500000.0,4441466.645353092,-0.11257542607533204
1300000,3,yaba,0,flat,mainland,0,14.077875591662238,1000000.0,624067.9867957743,0.48071685513036055
1000000,3,yaba,0,flat,mainland,0,13.815511557963774,1000000.0,624067.9867957743,0.0
750000,2,yaba,0,flat,mainland,0,13.527829818844937,700000.0,388728.5267957169,0.12862446811441705
350000,1,ajah,0,mini flat,island,1,12.765691290604371,365000.0,1204599.6404862693,-0.012452270028857758
4000000,4,lekki,0,duplex,island,1,15.201805169084134,3500000.0,4441466.645353092,0.11257542607533204
950000,3,ajah,0,flat,island,1,13.76421831620775,900000.0,345391.2078968643,0.14476338382918616
450000,2,ojodu,0,flat,mainland,0,13.017005083966255,550000.0,251382.4283490744,-0.3978002784710875
1300000,3,yaba,0,flat,mainland,1,14.077875591662238,1000000.0,624067.9867957743,0.48071685513036055
1500000,3,ikeja,0,flat,mainland,0,14.220976332738882,1600000.0,1237311.287693152,-0.08082040549912091
1400000,3,gbagada,0,flat,mainland,0,14.151983508870947,1000000.0,395058.6778605653,1.012507818246632
1000000,2,gbagada,0,flat,mainland,1,13.815511557963774,775000.0,160228.0628912014,1.4042483940705208
700000,4,ojodu,0,flat,mainland,0,13.45883704259595,1200000.0,694827.8306787332,-0.7196027244786406
1200000,3,ikosi,0,flat,mainland,0,13.997832948091215,1000000.0,471780.70203466876,0.42392577555091054
800000,3,ojodu,0,flat,mainland,0,13.592368256649284,700000.0,336766.48457767285,0.296941663079705
850000,2,gbagada,0,flat,mainland,0,13.652992804936396,775000.0,160228.0628912014,0.46808279802350694
450000,1,ikosi,0,mini flat,mainland,1,13.017005083966255,450000.0,6506194.414999123,0.0
1300000,3,gbagada,0,flat,mainland,0,14.077875591662238,1000000.0,395058.6778605653,0.759380863684974
1500000,3,ogba,0,duplex,mainland,0,14.220976332738882,1500000.0,355232.98860110977,0.0
1000000,3,ikosi,1,flat,mainland,1,13.815511557963774,1000000.0,471780.70203466876,0.0
1200000,2,lekki,0,flat,island,0,13.997832948091215,2000000.0,895390.6211295603,-0.8934647975101389
750000,2,ojodu,0,flat,mainland,1,13.527829818844937,550000.0,251382.4283490744,0.795600556942175
3000000,3,ikeja,0,flat,mainland,1,14.914123179965662,1600000.0,1237311.287693152,1.1314856769876929
400000,3,ikorodu,0,flat,mainland,1,12.899222326086994,400000.0,87579.9754558103,0.0
1200000,2,lekki,0,duplex,island,0,13.997832948091215,2050000.0,602376.2469230861,-1.4110782162174658
700000,2,ogba,0,flat,mainland,0,13.45883704259595,600000.0,163816.95331828375,0.6104374301584506
650000,3,ogba,0,flat,mainland,0,13.384729180332174,800000.0,896406.6669840576,-0.1673347661554906
450000,2,ikorodu,0,flat,mainland,0,13.017005083966255,250000.0,871957.4409978761,0.2293689927929489
2500000,3,ikosi,0,duplex,mainland,0,14.731801689838349,2100000.0,388267.4773747193,1.0302176291061267
500000,2,ojodu,0,flat,mainland,1,13.122365377402328,550000.0,251382.4283490744,-0.19890013923554375
700000,2,okota,0,flat,mainland,0,13.45883704259595,600000.0,107763.18121606496,0.9279607271383369
16000000,3,ikoyi,1,flat,island,0,16.588099342704055,7500000.0,5588541.634109451,1.5209692539678998
450000,2,isolo,0,flat,mainland,0,13.017005083966255,500000.0,143676.22330384783,-0.3480046931235068
480000,2,isolo,0,flat,mainland,0,13.081543466215237,500000.0,143676.22330384783,-0.13920187724940272
550000,3,isolo,0,flat,mainland,0,13.217675375388819,800000.0,1032393.6812581456,-0.2421556858962299
7500000,4,ajah,0,duplex,island,1,15.830413711839864,1500000.0,1119925.9949810226,5.357496858622048
2000000,2,lekki,0,flat,island,0,14.508658238524095,2000000.0,895390.6211295603,0.0
800000,3,idimu,1,flat,mainland,0,13.592368256649284,525000.0,183711.73070873835,1.4969103983674978
350000,2,ajah,1,flat,island,0,12.765691290604371,700000.0,204008.4003956448,-1.7156156281860238
550000,3,idimu,1,flat,mainland,0,13.217675375388819,525000.0,183711.73070873835,0.13608276348795434
900000,3,ajah,0,flat,island,1,13.710151153416941,900000.0,345391.2078968643,0.0
800000,3,ajah,0,flat,island,0,13.592368256649284,900000.0,345391.2078968643,-0.2895267676583723
200000,0,isolo,0,self contain,mainland,0,12.206077645517674,200000.0,76376.26158259733,0.0
2500000,3,surulere,0,flat,mainland,0,14.731801689838349,950000.0,595690.8266673322,2.6020209320188314
4500000,3,lekki,1,flat,island,0,15.319588176962746,2000000.0,1404009.206178628,1.7806151049425045
3800000,4,lekki,0,duplex,island,1,15.150511887854474,3500000.0,4441466.645353092,0.06754525564519923
5000000,3,victoria island,1,flat,island,0,15.424948670398354,4500000.0,6915655.485204466,0.07229972647852587
