Price,Bedrooms,Locality,Is_premium_subarea,Property_type,Area,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group
100000,0,ajah,0,self contain,island,0,11.51293546492023,300000.0,157457.91344195599,-1.2701806827494027
120000,0,ajah,0,self contain,island,0,11.695255355062795,300000.0,157457.91344195599,-1.1431626144744624
150000,3,ikosi,0,flat,mainland,0,11.918397239722838,1000000.0,471780.70203466876,-1.8016845460913697
900000,0,surulere,0,self contain,mainland,1,13.710151153416941,200000.0,286495.17828313826,2.443322097756919
2200000,2,surulere,0,flat,mainland,1,14.603968372873895,725000.0,366236.1254336464,4.027456325488121
350000,2,ajah,0,flat,island,0,12.765691290604371,700000.0,204008.4003956448,-1.7156156281860238
2500000,4,ilupeju,0,duplex,mainland,1,14.731801689838349,2500000.0,928782.731664065,0.0
550000,1,gbagada,1,mini flat,mainland,0,13.217675375388819,400000.0,103946.4532858813,1.4430506790593305
800000,2,gbagada,1,flat,mainland,0,13.592368256649284,775000.0,160228.0628912014,0.156027599341169
2000000,2,yaba,0,flat,mainland,0,14.508658238524095,700000.0,388728.5267957169,3.344236170974843
900000,2,ogudu,0,flat,mainland,1,13.710151153416941,1000000.0,417962.0016801585,-0.23925619936264939
1500000,4,lekki,0,flat,island,1,14.220976332738882,3500000.0,1287490.062882392,-1.553410047703563
500000,2,ipaja,0,flat,mainland,0,13.122365377402328,300000.0,63656.38091708226,3.141868845175422
6000000,10,ikeja,0,duplex,mainland,0,15.607270193858982,6000000.0,1.0,0.0
13000000,4,ikoyi,1,house,island,0,16.380459992348886,10000000.0,5370654.423015095,0.5585911443387553
540000,1,ikeja,0,mini flat,mainland,0,13.199326270390594,600000.0,1693250.274244203,-0.03543480896631274
1600000,4,gbagada,0,duplex,mainland,1,14.285514812209815,2500000.0,709279.1573681855,-1.2688939053834507
700000,2,ikeja,0,flat,mainland,0,13.45883704259595,1000000.0,1799391.966140632,-0.1667229851222718
5500000,2,ikoyi,1,flat,island,1,15.520258832020865,4000000.0,6803381.0000145435,0.22047861203081137
1800000,2,lekki,1,flat,island,1,14.403297778421795,2000000.0,895390.6211295603,-0.2233661993775347
14000000,3,victoria island,1,flat,island,0,16.454567959008102,4500000.0,6915655.485204466,1.3736948030919915
170000,1,ipaja,0,mini flat,mainland,0,12.04355959836804,200000.0,61405.005599248,-0.48855951900389366
750000,3,ikeja,0,flat,mainland,1,13.527829818844937,1600000.0,1237311.287693152,-0.6869734467425278
6000000,4,ikeja,1,duplex,mainland,0,15.607270193858982,3500000.0,1350794.5131020376,1.8507626258111345
800000,1,ikeja,0,mini flat,mainland,0,13.592368256649284,600000.0,1693250.274244203,0.11811602988770915
650000,3,oshodi,0,flat,mainland,0,13.384729180332174,600000.0,179822.64133357164,0.27805174937481775
500000,1,ogba,0,mini flat,mainland,0,13.122365377402328,320000.0,158881.39318828142,1.1329205792316543
4000000,4,maryland,0,duplex,mainland,1,15.201805169084134,3400000.0,1698234.3772283024,0.353308122863031
1500000,2,ojodu,0,flat,mainland,1,14.220976332738882,550000.0,251382.4283490744,3.7791026454753314
4000000,6,ikosi,0,duplex,mainland,0,15.201805169084134,3750000.0,821583.8362577491,0.3042903097250923
900000,2,ikeja,0,flat,mainland,0,13.710151153416941,1000000.0,1799391.966140632,-0.0555743283740906
800000,2,ikosi,1,flat,mainland,0,13.592368256649284,650000.0,284013.1899463334,0.528144485220365
350000,1,okota,1,mini flat,mainland,0,12.765691290604371,350000.0,80903.98349558905,0.0
320000,1,ogba,0,mini flat,mainland,1,12.676079399771027,320000.0,158881.39318828142,0.0
24000000,4,ikoyi,1,flat,island,0,16.993564429978885,14500000.0,5593021.72921687,1.6985451621569476
6000000,4,victoria island,1,duplex,island,1,15.607270193858982,5500000.0,29047945.450937405,0.01721292133533198
1700000,3,ikosi,0,flat,mainland,0,14.346139397261565,1000000.0,471780.70203466876,1.483740214428187
800000,2,ogudu,1,flat,mainland,0,13.592368256649284,1000000.0,417962.0016801585,-0.47851239872529877
800000,1,ikosi,0,mini flat,mainland,0,13.592368256649284,450000.0,6506194.414999123,0.053794888021348373
1000000,3,ogudu,1,flat,mainland,0,13.815511557963774,1200000.0,390219.34737220797,-0.5125322497380721
600000,2,ogudu,1,flat,mainland,0,13.304686600863562,1000000.0,417962.0016801585,-0.9570247974505975
1000000,3,ogudu,0,flat,mainland,1,13.815511557963774,1200000.0,390219.34737220797,-0.5125322497380721
5500000,4,lekki,0,duplex,island,0,15.520258832020865,3500000.0,4441466.645353092,0.45030170430132815
1700000,3,lekki,1,house,island,0,14.346139397261565,2850000.0,2759038.177819703,-0.41681191990926847
270000,2,ipaja,0,flat,mainland,1,12.506180941677357,300000.0,63656.38091708226,-0.4712803267763133
700000,3,alimosho,0,flat,mainland,1,13.45883704259595,450000.0,184234.50529468272,1.3569662186794245
150000,1,ikorodu,0,mini flat,mainland,1,11.918397239722838,160000.0,46262.26722093344,-0.21615888283735152
900000,4,ajah,0,flat,island,1,13.710151153416941,1000000.0,873371.5004382601,-0.1144988128761011
850000,2,ikeja,0,flat,mainland,0,13.652992804936396,1000000.0,1799391.966140632,-0.0833614925611359
3500000,4,ikeja,0,house,mainland,0,15.068273812173887,2500000.0,1650841.5362407677,0.6057516594095163
4000000,3,surulere,0,flat,mainland,0,15.201805169084134,950000.0,595690.8266673322,5.120105704940282
280000,2,oshodi,0,flat,mainland,0,12.54254845357358,500000.0,698445.6840917364,-0.3149851234116931
1500000,4,surulere,0,bungalow,mainland,0,14.220976332738882,1150000.0,551324.1635674364,0.6348352260406396
1200000,1,surulere,0,mini flat,mainland,0,13.997832948091215,350000.0,520105.5909145904,1.6342835278992098
14000000,4,victoria island,1,duplex,island,0,16.454567959008102,5500000.0,29047945.450937405,0.29261966270064366
6000000,4,surulere,0,duplex,mainland,0,15.607270193858982,2500000.0,1288603.895694872,2.7161178168816926
550000,1,surulere,0,mini flat,mainland,0,13.217675375388819,350000.0,520105.5909145904,0.384537300682167
3500000,4,surulere,0,duplex,mainland,0,15.068273812173887,2500000.0,1288603.895694872,0.7760336619661979
700000,3,ikorodu,0,duplex,mainland,1,13.45883704259595,550000.0,212132.03435596425,0.7071067811865476
850000,2,surulere,0,flat,mainland,0,13.652992804936396,725000.0,366236.1254336464,0.34130985809221365
