Price,Bedrooms,Is_premium_subarea,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group,Locality_encoded,Area_encoded,Property_type_encoded
400000,1,0,1,12.899222326086994,365000.0,1204599.6404862693,0.029055296734001434,13.818373118244434,14.830809391644584,13.165972544764426
14000000,3,1,0,16.454567959008102,7500000.0,5588541.634109451,1.1630941353872175,15.667498519894266,14.814728592296849,13.924388598525375
200000,1,0,0,12.206077645517674,350000.0,197881.37662672115,-0.7580298993116291,13.574727771706236,13.74365033424736,13.143299938788093
800000,2,0,0,13.592368256649284,725000.0,366236.1254336464,0.20478591485532818,13.705930037384318,13.75503204010579,13.959739575628085
300000,1,0,0,12.611541086966115,350000.0,197881.37662672115,-0.2526766331038764,13.632339391313863,13.73828354933841,13.121227134887489
300000,0,0,0,12.611541086966115,230000.0,96333.31300434396,0.7266437519577832,13.62347496440506,13.75503204010579,12.596217268470957
600000,2,0,0,13.304686600863562,700000.0,388728.5267957169,-0.2572489362288341,13.574727771706236,13.74365033424736,13.961348273931726
450000,1,0,0,13.017005083966255,350000.0,197881.37662672115,0.5053532662077528,13.614369437229945,13.75053356952986,13.141945411452566
1000000,3,0,0,13.815511557963774,1000000.0,471780.70203466876,0.0,14.000371501401402,13.74365033424736,13.961348273931726
500000,2,0,0,13.122365377402328,500000.0,246132.39769290932,0.0,13.35631088476631,13.75503204010579,13.959739575628085
3300000,5,0,1,15.009433329466965,3300000.0,1.0,0.0,14.042000028944631,13.75503204010579,13.959739575628085
2500000,4,1,0,14.731801689838349,3500000.0,4441466.645353092,-0.22515085215066408,14.649561465492654,14.814728592296849,14.920318282492198
550000,3,0,1,13.217675375388819,900000.0,232605.93417828914,-1.504690760519162,13.77510828723466,13.75053356952986,13.942958244723336
1500000,3,0,0,14.220976332738882,1000000.0,471780.70203466876,1.0598144388772763,14.000371501401402,13.74365033424736,13.961348273931726
180000,1,0,0,12.100717685412471,350000.0,197881.37662672115,-0.8591005525531797,13.545116365016396,13.761359647409968,13.165972544764426
150000,1,0,0,11.918397239722838,350000.0,197881.37662672115,-1.0107065324155056,13.574727771706236,13.74365033424736,13.143299938788093
1500000,3,1,0,14.220976332738882,2000000.0,1404009.206178628,-0.3561230209885009,14.649561465492654,14.814728592296849,13.924388598525375
85000,1,0,0,11.350418300109132,350000.0,197881.37662672115,-1.3391861554505449,13.545116365016396,13.761359647409968,13.165972544764426
80000,1,0,0,11.289794413577894,350000.0,197881.37662672115,-1.3644538187609325,13.614369437229945,13.75053356952986,13.141945411452566
1200000,2,0,0,13.997832948091215,700000.0,388728.5267957169,1.2862446811441703,13.632339391313863,13.73828354933841,13.924388598525375
800000,1,1,0,13.592368256649284,1100000.0,655271.5531639188,-0.4578254596151434,14.667835947994133,14.859081171067611,13.143299938788093
400000,3,1,0,12.899222326086994,2000000.0,1404009.206178628,-1.139593667163203,14.649561465492654,14.814728592296849,13.924388598525375
1000000,3,0,1,13.815511557963774,900000.0,345391.2078968643,0.2895267676583723,13.818373118244434,14.830809391644584,13.961012994652792
850000,3,0,0,13.652992804936396,1000000.0,395058.6778605653,-0.379690431842487,13.940793064563954,13.74365033424736,13.961348273931726
600000,2,0,0,13.304686600863562,775000.0,160228.0628912014,-1.092193195388183,13.969481809395797,13.75503204010579,13.959739575628085
450000,1,0,0,13.017005083966255,400000.0,103946.4532858813,0.48101689301977685,14.00180902898726,13.761359647409968,13.165972544764426
